# This file lists the coordinates of nodes that were deleted in OSM. It was manually generated by looking at the history on the website.

osm_id, lat, lon
2286260714, 46.8570138, -71.3645636
285497285, 46.7759463, -71.3099251
2509535196, 46.8608694, -71.2104015
2509535177, 46.8607397, -71.2105633
2509535173, 46.8606081, -71.2107274
2509535164, 46.8604540, -71.2109197
2513343057, 46.8483155, -71.2267770
2513343061, 46.8487432, -71.2262816
2538748186, 46.8178281, -71.2119523
2538748174, 46.8176806, -71.2124474
473478926, 46.8174117, -71.2081484
2545992173, 46.8146476, -71.2008420
2545992138, 46.8142540, -71.2013685
2545992168, 46.8146297, -71.2008367
2545992104, 46.8138822, -71.2012812
2545992107, 46.8140235, -71.2013022
2545992211, 46.8150657, -71.2009656
2545992265, 46.8153551, -71.2010511
2545992182, 46.8147749, -71.2008797
2545992197, 46.8149221, -71.2009231
2545992252, 46.8152065, -71.2010072
2545992101, 46.8137360, -71.2012598
2545992154, 46.8144821, -71.2007931
2545992150, 46.8144027, -71.2014144
2545992152, 46.8144799, -71.2008105
2545992109, 46.8140663, -71.2008197
2545992105, 46.8139230, -71.2007982
2545992124, 46.8141739, -71.2008359
2548212069, 46.8305388, -71.2329285
2291673230, 46.7577124, -71.2712283
3042067071, 46.8725915, -71.2077121
2286922486, 46.8758918, -71.3478177
3142835424, 46.7840387, -71.2743047
3239516854, 46.8392826, -71.3981938
3395457481, 46.7988161, -71.2579616
2348883317, 46.8131550, -71.2238401
2359176960, 46.8125475, -71.2313057
1777699392, 46.8961491, -71.1340471
3401006746, 46.8135105, -71.2190071
279057731, 46.8730706, -71.1741884
289548831, 46.8380583, -71.2553155
300470479, 46.7354659, -71.4003285
300470492, 46.7350133, -71.3980061
301286802, 46.8531372, -71.2313209
499691670, 46.7623474, -71.4632698
2193257552, 46.9039268, -71.1109970
2946425890, 46.8998645, -71.1745552
955414892, 46.8129355, -71.2061227
2359283240, 46.8063993, -71.2334685
1913564746, 46.7867123, -71.2668950
2934779677, 46.7861018, -71.2468342
2535131626, 46.8293171, -71.2254584
2037077873, 46.9075791, -71.3097896
2513343062, 46.8491458, -71.2256929
2545992156, 46.8144856, -71.2007658
3247221910, 46.7839560, -71.2741421
